type,entryAt,entryYmd,amount,categoryId,accountId,memberId,memo,fixedItemId,autoFlag,starFlag,jsonProps,uuid,bookId,sortKey,deleteFlag,syncAt,createdAt,createdBy,updatedAt,updatedBy
0,2018-05-19,20180519,65,60200f80-34ce-41e6-b9fc-e8d7fc0ba068,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,濾紙,,0,0,,499d5dc0-6b49-11eb-821b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393372,0,,2021-02-09 03:46:31.361,,,
0,2018-05-21,20180521,48,c984ab85-ead0-433c-9c44-9ebd17d2c67a,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d5dc1-6b49-11eb-9984-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393373,0,,2021-02-09 03:46:31.361,,,
0,2018-05-21,20180521,45,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d5dc2-6b49-11eb-bfd2-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393374,0,,2021-02-09 03:46:31.361,,,
0,2018-05-22,20180522,50,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d5dc3-6b49-11eb-9bde-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393375,0,,2021-02-09 03:46:31.361,,,
0,2018-05-21,20180521,150,c903d142-24ef-464d-a174-ce7c3fb0656e,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,健身房,,0,0,,499d5dc4-6b49-11eb-8191-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393376,0,,2021-02-09 03:46:31.361,,,
0,2018-05-19,20180519,150,a2718638-c17e-4674-8f7e-42fda6a518ee,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499d5dc5-6b49-11eb-8c7b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393377,0,,2021-02-09 03:46:31.361,,,
0,2018-05-19,20180519,275,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499d5dc6-6b49-11eb-a1d1-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393378,0,,2021-02-09 03:46:31.361,,,
0,2018-05-19,20180519,30,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499d5dc7-6b49-11eb-93e8-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393379,0,,2021-02-09 03:46:31.361,,,
0,2018-05-20,20180520,185,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84d4-6b49-11eb-9476-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393380,0,,2021-02-09 03:46:31.361,,,
0,2018-05-18,20180518,973,5a4bee63-06e6-46c4-a04a-6bebdedd9011,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,油費(現金),,0,0,,499d84d5-6b49-11eb-bdfe-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393381,0,,2021-02-09 03:46:31.361,,,
